Rk,Player,GS,AS,Season,Age,Team,G,GS,AS,WS,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Player-additional
1,Bam Adebayo,19,0,2024-25,27,MIA,19,19,0,1.5,109,109,0.4,1.1,0.108,-0.4,1.1,0.7,0.5,16.9,8.3,22,15.1,21.9,2.4,2.2,10.4,21.9,C-F,adebaba01
2,Ochai Agbaji,19,0,2024-25,24,TOR,21,19,0,1.5,127,117,1.1,0.4,0.107,0.2,0.3,0.5,0.4,13.3,3.5,12.4,7.9,9.2,1.6,1.9,9.3,13.4,G,agbajoc01
3,Santi Aldama,11,0,2024-25,24,MEM,21,11,0,1.8,120,109,0.9,0.9,0.153,1.5,0.7,2.2,0.6,16.7,6.8,21.1,14.3,16.8,1.4,1.5,11.4,18.3,F,aldamsa01
4,Jarrett Allen,21,0,2024-25,26,CLE,21,21,0,3.1,142,108,2.1,1,0.241,2.8,0.4,3.2,0.8,22.4,9.1,30.1,20,7.3,1.5,3.1,9.2,15.8,C-F,allenja01
5,Giannis Antetokounmpo,17,0,2024-25,30,MIL,17,17,0,3.1,123,110,2.3,0.8,0.251,7,2.6,9.6,1.7,32.3,6.7,29.4,18.4,39.2,0.7,3.8,11.1,37,F-G,antetgi01
6,OG Anunoby,20,0,2024-25,27,NYK,20,20,0,1.7,119,115,1.1,0.6,0.112,0.1,-0.5,-0.4,0.3,15.3,3.8,12.4,8.3,7.5,1.9,2.4,8.2,19.1,F,anunoog01
7,Deni Avdija,12,0,2024-25,24,POR,21,12,0,0.9,108,113,0.2,0.6,0.073,-0.6,0.7,0.1,0.3,14.3,4.7,20.2,12.1,17.5,1.9,3,16,19.9,G-F,avdijde01
8,Deandre Ayton,14,0,2024-25,26,POR,14,14,0,0.8,111,112,0.3,0.5,0.092,-0.7,-1.3,-1.9,0,16.9,9.9,27,18.1,7.1,1.5,2,12.7,19.7,C,aytonde01
9,LaMelo Ball,18,0,2024-25,23,CHO,18,18,0,1.5,111,115,1,0.5,0.116,5.9,-0.5,5.4,1.1,21.7,2.9,14.8,8.6,42.3,1.6,0.6,14.1,39.6,G,ballla01
10,Desmond Bane,13,0,2024-25,26,MEM,14,13,0,0.6,103,108,0,0.6,0.073,-1.8,0.1,-1.7,0,12.6,3.1,20.6,12.2,19.2,1.4,1.7,14.1,23.1,G,banede01
11,Harrison Barnes,20,0,2024-25,32,SAS,20,20,0,1.7,134,118,1.4,0.3,0.137,1.3,-1.6,-0.3,0.3,14.3,7.2,10.8,9,8.2,0.5,0.6,8.4,14.2,F,barneha02
12,Scottie Barnes,10,0,2024-25,23,TOR,10,10,0,0.7,110,114,0.3,0.3,0.093,3.5,0.6,4.2,0.5,19.4,7.8,20.7,14.2,31.9,2,1.7,14.8,28.1,G-F,barnesc01
13,RJ Barrett,18,0,2024-25,24,TOR,18,18,0,0.9,109,117,0.5,0.4,0.067,1.6,-1.1,0.4,0.4,17.2,3,17.3,10.1,29,1.2,0.8,13.5,30.1,G-F,barrerj01
14,Bradley Beal,11,0,2024-25,31,PHO,11,11,0,0.8,117,116,0.6,0.2,0.106,0.9,0,0.8,0.3,16.7,1.8,10.5,6.2,15.4,1.7,2.3,9.5,21.6,G,bealbr01
15,Goga Bitadze,15,0,2024-25,25,ORL,18,15,0,1.9,129,101,0.9,1,0.223,-0.5,3.3,2.8,0.5,19.8,12.8,24,18.2,12.4,1.9,7.4,19.1,14.2,C,bitadgo01
16,Devin Booker,19,0,2024-25,28,PHO,19,19,0,2.3,123,119,2.1,0.3,0.16,4,-1.5,2.4,0.8,20.8,3.7,7,5.3,29.7,1.3,1.1,9.1,27.8,G,bookede01
17,Brandon Boston Jr.,10,0,2024-25,23,NOP,19,10,0,0.5,108,118,0.2,0.3,0.044,-2,0,-2,0,13.5,2.9,12.4,7.4,19.9,2.7,0.7,12.5,19.4,G-F,bostobr01
18,Christian Braun,18,0,2024-25,23,DEN,18,18,0,1.8,129,116,1.3,0.4,0.134,0.7,-0.4,0.3,0.4,15.7,3.9,11.8,7.9,7.7,1.7,1.7,10.3,15.8,G,braunch01
