Player,AS_x,Season,Age,Team_x,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Rk_y,WS,ORtg,DRtg,OWS,DWS,WS/48,OBPM,DBPM,BPM,VORP,PER,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Pos,Player-additional_y
Precious Achiuwa,0,2023-24,24,NYKTOR,74,18,1624,235,469,209,372,26,97,69,112,191,296,487,97,46,68,83,143,565,0.501,0.562,0.268,0.616,0.545,0.529,150,3.4,114,112,1.2,2.2,0.102,-1.7,0.3,-1.4,0.2,14.6,13,20.5,16.7,8.4,1.4,3.9,13.8,15.9,F,achiupr01
Bam Adebayo,1,2023-24,26,MIA,71,71,2416,530,1017,515,975,15,42,292,387,159,578,737,278,81,66,162,159,1367,0.521,0.528,0.357,0.755,0.576,0.529,151,7.2,115,109,2.9,4.3,0.144,0.8,1.7,2.4,2.7,19.8,7.4,27.3,17.3,18.9,1.7,2.7,12,24.9,C-F,adebaba01
Ochai Agbaji,0,2023-24,23,TORUTA,78,28,1641,178,433,116,222,62,211,37,56,74,142,216,83,47,44,64,117,455,0.411,0.523,0.294,0.661,0.497,0.483,152,0.1,102,121,-0.5,0.6,0.002,-3.5,-0.9,-4.4,-1,7.7,4.9,9.6,7.2,6.6,1.4,2.4,12.3,13.4,G,agbajoc01
Santi Aldama,0,2023-24,23,MEM,61,35,1618,247,568,141,264,106,304,54,87,72,280,352,138,43,54,69,89,654,0.435,0.534,0.349,0.621,0.539,0.528,153,2.4,109,114,0.4,2,0.07,-0.7,0.4,-0.2,0.7,13.1,4.7,19.7,11.9,13.3,1.3,3.1,10.2,17.9,F,aldamsa01
Nickeil Alexander-Walker,0,2023-24,25,MIN,82,20,1921,236,538,105,203,131,335,52,65,35,132,167,204,64,42,76,143,655,0.439,0.517,0.391,0.8,0.578,0.56,154,4.3,115,111,1.5,2.8,0.107,-1.1,1.3,0.2,1.1,10.9,2.2,7.5,4.9,14.5,1.6,1.9,11.8,14.8,G,alexani01
Grayson Allen,0,2023-24,28,PHO,75,74,2513,340,682,135,237,205,445,129,147,48,247,295,227,69,45,95,157,1014,0.499,0.57,0.461,0.878,0.679,0.649,155,6.9,130,117,4.7,2.2,0.132,1.1,0.1,1.3,2,13.8,2.3,10.6,6.6,12.1,1.3,1.6,11.3,14.5,G,allengr01
Jarrett Allen,0,2023-24,25,CLE,77,77,2442,519,819,519,813,0,6,233,314,243,568,811,210,53,81,121,147,1271,0.634,0.638,0,0.742,0.664,0.634,156,10.7,131,110,6.8,3.9,0.21,2.1,0.9,3,3.1,21.8,11.3,25.8,18.7,13.2,1.1,3,11.2,19.4,C-F,allenja01
Kyle Anderson,0,2023-24,30,MIN,79,10,1782,199,433,188,385,11,48,97,137,60,213,273,331,71,47,91,128,506,0.46,0.488,0.229,0.708,0.513,0.472,157,4.5,114,109,1.4,3.1,0.121,-1.6,2.7,1.1,1.4,12.7,4,13,8.7,25,2,2.3,15.6,14.5,F-G,anderky01
Giannis Antetokounmpo,1,2023-24,29,MIL,73,73,2567,837,1369,803,1245,34,124,514,782,196,645,841,476,87,79,250,210,2222,0.611,0.645,0.274,0.657,0.649,0.624,158,13.2,126,112,9.5,3.7,0.246,6.7,2.4,9,7.2,29.9,8.6,27,17.9,32.7,1.6,2.6,12.7,33,F-G,antetgi01
OG Anunoby,0,2023-24,26,NYKTOR,50,50,1702,282,577,180,310,102,267,67,89,47,161,208,107,68,36,81,119,733,0.489,0.581,0.382,0.753,0.595,0.577,159,2.6,113,117,1.1,1.5,0.073,-1,0.5,-0.6,0.6,12.8,3,10.6,6.8,9,2,1.9,11.6,17.6,F,anunoog01
Deni Avdija,0,2023-24,23,WAS,75,75,2257,406,803,318,568,88,235,202,273,84,456,540,286,60,36,160,185,1102,0.506,0.56,0.374,0.74,0.597,0.56,160,3.2,112,119,1.7,1.5,0.068,-0.7,-0.2,-0.9,0.6,14.9,3.9,22.1,12.8,17.8,1.2,1.3,14.8,20.2,G-F,avdijde01
Deandre Ayton,0,2023-24,25,POR,55,55,1784,427,749,426,739,1,10,65,79,176,433,609,90,56,42,99,109,920,0.57,0.576,0.1,0.823,0.587,0.571,161,3.9,115,114,1.8,2.1,0.106,0.5,-0.2,0.3,1,18.9,10.4,28.9,19.1,8.8,1.5,2.1,11.2,21.1,C,aytonde01
Marvin Bagley III,0,2023-24,24,DETWAS,50,25,1053,239,408,230,385,9,23,96,126,130,182,312,55,20,33,59,81,583,0.586,0.597,0.391,0.762,0.629,0.597,162,2.7,122,119,2,0.7,0.122,1,-1.4,-0.4,0.4,19.4,13.1,19.2,16.1,8.1,0.9,2.6,11.3,21,F-C,baglema01
LaMelo Ball,0,2023-24,22,CHO,22,22,711,183,423,113,226,70,197,90,104,29,84,113,176,40,4,83,79,526,0.433,0.5,0.355,0.865,0.561,0.515,163,1.1,110,118,0.6,0.5,0.074,3.8,-0.5,3.3,1,20.8,4.4,13.7,8.9,43.1,2.8,0.5,15,34.3,G,ballla01
Mo Bamba,0,2023-24,25,PHI,57,17,740,97,198,72,134,25,64,34,50,77,161,238,41,22,60,39,101,253,0.49,0.537,0.391,0.68,0.575,0.553,164,2,116,109,0.6,1.3,0.128,-2.3,1.4,-1,0.2,15.4,11.3,24.5,17.8,7.6,1.5,7.4,15.1,15.1,C,bambamo01
Paolo Banchero,1,2023-24,21,ORL,80,80,2799,640,1407,521,1056,119,351,405,559,82,472,554,431,71,47,247,153,1804,0.455,0.493,0.339,0.725,0.546,0.497,165,5.3,109,112,1.3,4,0.09,1.3,0,1.3,2.3,17.3,3.4,20,11.6,25.2,1.3,1.6,13,29.7,F,banchpa01
Desmond Bane,0,2023-24,25,MEM,42,42,1443,360,776,223,416,137,360,140,161,36,149,185,230,43,22,112,120,997,0.464,0.536,0.381,0.87,0.589,0.552,166,3.1,114,116,1.8,1.3,0.102,3.1,-0.3,2.8,1.7,18.5,2.6,11.8,7,29.2,1.5,1.4,11.7,28.5,G,banede01
Harrison Barnes,0,2023-24,31,SAC,82,82,2381,347,732,198,347,149,385,157,196,67,182,249,99,54,12,58,98,1000,0.474,0.571,0.387,0.801,0.611,0.576,167,4.7,122,119,3.1,1.5,0.094,-0.6,-1.2,-1.8,0.1,11.9,3.1,8.8,5.9,5.6,1.1,0.5,6.6,15.7,F,barneha02
Scottie Barnes,1,2023-24,22,TOR,60,60,2094,447,942,346,646,101,296,196,251,141,353,494,363,75,88,165,118,1191,0.475,0.536,0.341,0.781,0.566,0.528,168,4.3,114,116,2.3,2,0.098,2.9,0.8,3.7,3,19.5,7.3,18.9,13,26.2,1.7,3.7,13.6,24.8,G-F,barnesc01
RJ Barrett,0,2023-24,23,NYKTOR,58,58,1838,436,880,346,630,90,250,208,291,53,262,315,193,31,22,126,129,1170,0.495,0.549,0.36,0.715,0.58,0.547,169,2.9,112,119,1.6,1.2,0.075,0.7,-1.5,-0.8,0.6,16.4,3.1,16,9.5,16.7,0.8,1.1,11.1,26.5,G-F,barrerj01
