Player,AS,Season,Age,Team,G,GS,AS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,FT%,TS%,eFG%,Pos,Player-additional
Bam Adebayo,0,2024-25,27,MIA,19,19,0,670,112,267,94,213,18,54,55,76,52,135,187,93,32,15,35,39,297,0.419,0.441,0.333,0.724,0.494,0.453,C,adebaba01
Ochai Agbaji,0,2024-25,24,TOR,21,19,0,662,99,186,59,101,40,85,14,20,21,74,95,44,22,13,20,53,252,0.532,0.584,0.471,0.7,0.647,0.64,G,agbajoc01
Santi Aldama,0,2024-25,24,MEM,21,11,0,577,112,223,81,131,31,92,18,23,36,120,156,72,17,9,30,25,273,0.502,0.618,0.337,0.783,0.586,0.572,F,aldamsa01
Jarrett Allen,0,2024-25,26,CLE,21,21,0,623,121,173,121,173,0,0,56,76,49,175,224,34,19,21,21,26,298,0.699,0.699,,0.737,0.722,0.699,C,allenja01
Giannis Antetokounmpo,0,2024-25,30,MIL,17,17,0,598,224,368,221,354,3,14,109,178,36,167,203,113,9,24,56,46,560,0.609,0.624,0.214,0.612,0.627,0.613,F,antetgi01
OG Anunoby,0,2024-25,27,NYK,20,20,0,729,129,267,86,150,43,117,46,55,23,81,104,40,28,18,26,51,347,0.483,0.573,0.368,0.836,0.596,0.564,F,anunoog01
Deni Avdija,0,2024-25,24,POR,21,12,0,568,80,197,54,116,26,81,63,79,26,102,128,67,23,18,44,43,249,0.406,0.466,0.321,0.797,0.537,0.472,G,avdijde01
Deandre Ayton,0,2024-25,26,POR,14,14,0,428,94,171,89,155,5,16,13,19,41,103,144,18,13,9,26,30,206,0.55,0.574,0.313,0.684,0.574,0.564,C,aytonde01
LaMelo Ball,0,2024-25,23,CHO,18,18,0,614,193,449,109,213,84,236,89,105,17,80,97,125,20,4,81,73,559,0.43,0.512,0.356,0.848,0.564,0.523,G,ballla01
Desmond Bane,0,2024-25,26,MEM,14,13,0,384,73,176,48,94,25,82,24,31,11,78,89,55,12,7,31,37,195,0.415,0.511,0.305,0.774,0.514,0.486,G,banede01
Harrison Barnes,0,2024-25,32,SAS,20,20,0,583,76,148,46,83,30,65,49,61,37,60,97,33,6,4,16,15,231,0.514,0.554,0.462,0.803,0.661,0.615,F,barneha02
Scottie Barnes,0,2024-25,23,TOR,10,10,0,337,75,169,60,114,15,55,42,59,24,63,87,70,14,6,34,20,207,0.444,0.526,0.273,0.712,0.531,0.488,G,barnesc01
RJ Barrett,0,2024-25,24,TOR,18,18,0,621,156,341,119,237,37,104,77,111,17,97,114,112,15,5,61,45,426,0.457,0.502,0.356,0.694,0.546,0.512,G,barrerj01
Bradley Beal,0,2024-25,31,PHO,11,11,0,367,76,151,49,83,27,68,21,26,6,35,41,35,13,9,17,29,200,0.503,0.59,0.397,0.808,0.616,0.593,G,bealbr01
Goga Bitadze,0,2024-25,25,ORL,18,15,0,400,62,92,62,85,0,7,24,31,46,81,127,32,15,30,25,46,148,0.674,0.729,0,0.774,0.7,0.674,C,bitadgo01
Devin Booker,0,2024-25,28,PHO,19,19,0,699,152,343,102,198,50,145,116,130,23,44,67,126,19,8,40,41,470,0.443,0.515,0.345,0.892,0.587,0.516,G,bookede01
Brandon Boston Jr.,0,2024-25,23,NOP,19,10,0,541,83,198,59,121,24,77,38,44,15,59,74,70,30,4,31,34,228,0.419,0.488,0.312,0.864,0.524,0.48,G,bostobr01
Christian Braun,0,2024-25,23,DEN,18,18,0,629,106,181,83,133,23,48,51,65,22,69,91,35,22,12,24,40,286,0.586,0.624,0.479,0.785,0.682,0.649,G,braunch01
Mikal Bridges,0,2024-25,28,NYK,20,20,0,759,136,292,91,156,45,136,8,13,21,54,75,63,20,11,30,26,325,0.466,0.583,0.331,0.615,0.546,0.543,F,bridgmi01
Miles Bridges,0,2024-25,26,CHO,11,11,0,331,62,146,38,77,24,69,28,33,8,64,72,33,7,5,15,15,176,0.425,0.494,0.348,0.848,0.548,0.507,F,bridgmi02
Dillon Brooks,0,2024-25,29,HOU,21,21,0,648,97,234,54,121,43,113,27,32,27,49,76,32,12,5,18,66,264,0.415,0.446,0.381,0.844,0.532,0.506,F,brookdi01
Jaylen Brown,0,2024-25,28,BOS,16,16,0,578,135,315,92,189,43,126,87,112,25,77,102,69,17,6,39,45,400,0.429,0.487,0.341,0.777,0.549,0.497,G,brownja02
Jalen Brunson,0,2024-25,28,NYK,20,20,0,690,174,358,123,234,51,124,109,129,9,50,59,157,13,1,46,49,508,0.486,0.526,0.411,0.845,0.612,0.557,G,brunsja01
Jimmy Butler,0,2024-25,35,MIA,14,14,0,446,84,156,77,135,7,21,89,113,33,39,72,67,17,4,20,18,264,0.538,0.57,0.333,0.788,0.642,0.561,F,butleji01
Kentavious Caldwell-Pope,0,2024-25,31,ORL,21,21,0,630,62,151,31,51,31,100,26,27,9,36,45,40,31,13,14,41,181,0.411,0.608,0.31,0.963,0.556,0.513,G,caldwke01
Toumani Camara,0,2024-25,24,POR,21,21,0,652,73,174,38,85,35,89,17,25,49,61,110,48,32,8,35,63,198,0.42,0.447,0.393,0.68,0.535,0.52,F,camarto01
Clint Capela,0,2024-25,30,ATL,22,22,0,501,103,173,103,173,0,0,27,48,77,125,202,30,15,21,18,40,233,0.595,0.595,,0.563,0.6,0.595,C,capelca01
Carlton Carrington,0,2024-25,19,WAS,18,12,0,499,57,142,32,71,25,71,19,24,4,66,70,79,21,6,34,53,158,0.401,0.451,0.352,0.792,0.518,0.489,G,carrica01
Stephon Castle,0,2024-25,20,SAS,20,13,0,537,80,206,56,123,24,83,42,59,16,36,52,74,15,9,35,34,226,0.388,0.455,0.289,0.712,0.487,0.447,G,castlst01
