Player,GS,Season,Lg,Team,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TS%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM,+/-,Player-additional
James Harden,8,2024-25,NBA,LAC,8,8,266,58,142,0.408,28,66,0.424,30,76,0.395,67,71,0.944,0.615,3,40,43,67,14,1,35,12,213,21.4,7.6,111,hardeja01
Franz Wagner,8,2024-25,NBA,ORL,8,8,286,70,155,0.452,55,103,0.534,15,52,0.288,47,53,0.887,0.566,6,39,45,60,21,6,24,21,202,21.2,6.5,67,wagnefr01
Brandon Miller,7,2024-25,NBA,CHO,7,7,274,69,165,0.418,32,74,0.432,37,91,0.407,22,26,0.846,0.558,11,36,47,22,8,8,28,23,197,16.8,1.5,-16,millebr02
Shai Gilgeous-Alexander,6,2024-25,NBA,OKC,6,6,216,67,133,0.504,52,89,0.584,15,44,0.341,45,56,0.804,0.615,8,30,38,41,11,4,16,16,194,26.3,11.2,66,gilgesh01
Jalen Brunson,7,2024-25,NBA,NYK,7,7,238,63,119,0.529,42,75,0.56,21,44,0.477,40,44,0.909,0.676,4,16,20,61,5,1,19,20,187,22.3,6.2,61,brunsja01
Nikola Jokić,6,2024-25,NBA,DEN,6,6,221,73,129,0.566,59,99,0.596,14,30,0.467,25,33,0.758,0.645,19,52,71,49,10,4,19,9,185,29,10.7,59,jokicni01
Giannis Antetokounmpo,5,2024-25,NBA,MIL,5,5,167,68,103,0.66,67,99,0.677,1,4,0.25,43,64,0.672,0.686,8,41,49,44,3,5,21,8,180,31.5,12,48,antetgi01
RJ Barrett,7,2024-25,NBA,TOR,7,7,249,65,120,0.542,51,84,0.607,14,36,0.389,33,47,0.702,0.629,7,39,46,39,4,2,27,17,177,18.4,1.7,2,barrerj01
De'Aaron Fox,7,2024-25,NBA,SAC,7,7,269,61,133,0.459,45,88,0.511,16,45,0.356,29,40,0.725,0.554,10,26,36,46,11,2,24,15,167,17.6,1.3,-10,foxde01
Scottie Barnes,7,2024-25,NBA,TOR,7,7,239,59,126,0.468,43,75,0.573,16,51,0.314,31,44,0.705,0.568,14,48,62,55,7,5,25,11,165,19.9,6.3,26,barnesc01
Damian Lillard,6,2024-25,NBA,MIL,6,6,218,51,109,0.468,25,49,0.51,26,60,0.433,36,37,0.973,0.655,2,24,26,54,6,2,18,11,164,23.2,4.9,53,lillada01
Tyrese Haliburton,8,2024-25,NBA,IND,8,8,280,55,116,0.474,22,36,0.611,33,80,0.413,19,20,0.95,0.649,7,16,23,67,9,1,18,9,162,18.4,4.3,-33,halibty01
